date,time,domain,srcip,destip,c0,usr,level,type,phyaddr,state,backupduration,backupvolume,n0,pwd
1198508986,19:44,east.uk.domain.lcl,63.137.66.116,134.130.126.83,5f5de00b58205f44d8e34e818768acd6,egarza0,critical,success,0x00-B4-48-6B-EA-BB-E3,FL,11.71,1359.73,5.00E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1173489915,20:58,na,na,na,5966386152e97be55173f50fd95e2e03,awells1,na,na,na,na,na,na,na,na
1352590542,14:29,east.uk.domain.lcl,153.255.10.11,117.56.0.229,933fb060385b6717b2e7099b61491d45,wwright2,critical,lock,0x00-98-8A-D7-AF-E5-11,CA,11.4,1452.6,5.01E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1318920752,13:39,east.us.domain.lcl,159.49.239.222,52.155.246.41,4169d118de6f2b01acbd5015728b6420,djordan3,info,retry,0x00-F3-46-EA-B1-6C-27,FL,4.78,940.79,3.56E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
na,na,west.us.domain.lcl,162.254.76.224,72.191.208.40,62e3369092149ab9c83f102aefaee8cb,rwilson4,warn,retry,0x00-66-C9-79-98-54-F1,MA,4.56,904.18,3.58E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1162253863,4:14,east.uk.domain.lcl,248.126.136.174,87.200.119.148,33e2da96d10fcafe22c67d70b6cfc14a,hjohnston5,info,fail,0x00-1D-12-5F-9F-FD-E7,NC,10.58,565.53,3.55E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1252031855,5:36,west.uk.domain.lcl,6.180.71.180,170.127.239.84,2829a6aa5386c5a008b4dd7cb3fcc9f7,tmorgan6,info,retry,0x00-20-28-E5-55-E1-2A,MA,8.07,1135.39,3.38E+14,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1445536257,12:25,east.uk.domain.lcl,107.32.34.130,13.28.122.167,1800bf0c58120816cd69134fafe8a108,jrichardson7,critical,lock,0x00-03-02-87-23-C2-B3,NY,7.05,884.46,6.77E+17,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1303078937,18:42,east.us.domain.lcl,203.252.120.198,34.205.205.165,b23109c25d407d834b1283ac09607161,pbailey8,warn,fail,0x00-F8-5A-2A-78-35-B2,FL,12.42,1600.57,6.76E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1375395586,4:05,east.us.domain.lcl,111.231.106.231,19.193.43.241,c9277a9e1a10545ccd08cc2bea16e9c9,ccarroll9,info,retry,0x00-47-42-14-B2-50-B3,NE,9.7,915.45,5.60E+17,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1409967718,17:19,west.uk.domain.lcl,120.213.205.213,35.28.95.244,40c4ac921ac3f9659a7779101b78edea,mmcdonalda,info,success,0x00-FC-4E-BD-A6-A9-CC,UT,13.55,726.29,3.58E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
na,na,east.us.domain.lcl,12.108.180.160,242.19.241.246,aab7b0de466e3d7455dffce875131c79,mlittleb,info,retry,0x00-26-8D-A9-50-09-D0,KY,5.16,1849.58,6.39E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1249832672,12:17,west.us.domain.lcl,29.118.40.127,83.197.169.136,e22d2c54a8058b3ebe1d538ea58b3e3e,rcollinsc,critical,lock,0x00-B9-87-02-23-9D-28,NM,12.35,1128.71,3.04E+13,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1350758870,11:19,west.us.domain.lcl,151.77.217.74,90.68.73.179,1f97bcf5e918b5f7a7f3f345c197a581,mnelsond,critical,fail,0x00-75-38-15-6B-D5-95,FL,4.92,1057.29,3.55E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1176860360,18:48,east.uk.domain.lcl,251.65.104.210,54.41.162.27,651ce0f4fce1da6a7dcaa10cdac4a46e,areide,error,retry,0x00-84-BF-73-7A-A0-F0,MN,10.89,852.55,6.76E+17,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1346832236,16:04,east.uk.domain.lcl,125.153.165.33,15.47.151.106,d85e4eaee32006a37388342df56ad547,kfordf,info,fail,0x00-5E-92-CA-57-C0-DF,FL,9.76,1954.41,3.58E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1359424492,6:17,west.us.domain.lcl,26.6.24.12,229.30.154.107,7ede23de703f6fa36542ecdc3a0aa486,gnelsong,critical,fail,0x00-42-0E-38-CD-99-DE,OK,13.79,1297.15,3.55E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1316656892,22:52,east.uk.domain.lcl,162.173.194.150,85.124.219.141,163ea3b22c4fddfa069fc31a5360a112,tclarkh,warn,lock,0x00-2D-FF-38-77-66-7A,NV,10.41,1823.32,3.58E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1324447298,8:42,west.us.domain.lcl,121.93.238.195,142.174.227.210,11b639c6cb27313ef41b7222679233ee,fturneri,warn,lock,0x00-EF-A3-04-F0-0D-BA,IL,14.31,1959.32,5.53E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1233821683,16:03,west.uk.domain.lcl,146.50.51.167,106.121.117.142,2483291e0ae6aabd93deaca16ef59071,awarrenj,warn,fail,0x00-D2-CE-7E-29-D3-C2,IN,7.39,1304.45,5.02E+18,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1145134750,21:22,east.uk.domain.lcl,207.177.157.163,89.188.89.186,9176b003b21ea26d04103042f1a3c4c8,bgarzak,info,lock,0x00-7B-08-9D-20-6A-07,MA,3.39,1975.27,6.76E+16,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1444969805,16:54,west.us.domain.lcl,241.72.57.233,64.161.186.124,fa10c740d198a8808f8fa27b97454ef0,mgarrettl,error,fail,0x00-D3-A0-0C-05-85-C0,DC,13.71,1905.04,3.59E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1343340359,10:24,east.uk.domain.lcl,214.189.179.33,74.184.148.221,148e8f4928668ebb4cf29514cc790c5a,aalvarezm,critical,lock,0x00-14-31-02-8B-86-FD,TX,7.24,1053.04,6.37E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1184222738,1:59,east.us.domain.lcl,213.190.12.11,28.105.34.213,439a917236191690c2188d5a1a7effd1,ewelchn,warn,fail,0x00-77-51-58-70-10-12,TX,12.29,809.71,3.55E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1371570176,3:03,east.us.domain.lcl,44.158.25.214,198.28.115.208,03dc5bd8245524ca2b9649299d9deef1,lthompsono,warn,lock,0x00-82-85-3E-30-53-3A,AL,12.65,1542.64,3.56E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1219676663,10:29,west.us.domain.lcl,64.89.56.190,233.8.196.62,cff1571f94269c02e4ef406a34811bd1,jryanp,info,lock,0x00-21-0C-64-DC-17-D6,GA,6.74,1600.75,5.10E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1408207559,23:19,east.uk.domain.lcl,185.238.244.27,247.209.35.241,1c525e146fcb26e8d79f2311d4744a49,amcdonaldq,critical,success,0x00-D1-B4-FC-D9-3E-B9,CA,12.7,1207.1,2.01E+14,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1319922824,17:00,west.us.domain.lcl,136.36.152.232,241.206.132.91,c20656d0f565631704f1a0c6ef989316,gburtonr,info,lock,0x00-6F-95-6A-F8-EC-1D,AL,5.36,1295.37,3.54E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1282370553,18:59,east.us.domain.lcl,61.24.139.129,186.94.195.240,3c54991aa13f14a8ce6b68b953bc73c9,prileys,warn,success,0x00-F5-A6-06-34-F5-BF,FL,14.4,772.57,3.55E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1164256876,22:11,west.us.domain.lcl,178.58.209.93,162.226.196.232,a9ad36891c57c334022110791ffa4989,bgonzalest,warn,lock,0x00-F5-84-3C-4D-61-C8,WA,10.45,1425.17,3.58E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1403279917,10:35,east.us.domain.lcl,171.224.80.115,146.254.1.233,38cd73f1e88daa0693d978df2c413f6b,rcampbellu,critical,lock,0x00-D1-98-DA-D9-28-11,MN,13.19,1742.52,2.02E+14,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1432360386,14:53,west.uk.domain.lcl,248.73.76.236,199.192.47.209,c03f025ceef55b8f15d2c5baaa2da4c5,swatsonv,warn,fail,0x00-7B-1A-66-F6-C7-42,MN,12.41,1984.76,3.57E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1391084632,2:05,west.us.domain.lcl,171.62.237.93,150.28.166.178,06631c0c3ef9fe390de316c0bab323ce,eramirezw,critical,fail,0x00-B8-A2-DB-B1-0F-54,NC,10.14,1686.27,5.60E+18,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1195666291,18:37,east.uk.domain.lcl,13.165.81.88,230.78.202.77,746b9feefc39f7d80108a9da25df20df,svasquezx,error,lock,0x00-F2-BB-5F-DA-2E-E6,CA,8.33,1118.74,3.59E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1425348889,8:54,east.uk.domain.lcl,181.134.109.98,143.110.93.149,d17978939a98b3f8752d67b33d29000f,jbakery,critical,fail,0x00-09-95-80-7F-DF-DF,HI,10.18,1207.5,3.57E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1460346646,7:01,east.us.domain.lcl,227.47.7.241,203.32.83.251,3b3329f7f1cdb612b7398c02af4dd734,dgreenez,warn,lock,0x00-26-EA-B9-04-BE-51,IL,9.53,1470.76,5.60E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
na,na,west.us.domain.lcl,26.142.221.187,215.109.140.215,78e6e0cf3fa18aa5a8d6beefb7583780,crice10,warn,fail,0x00-64-94-8F-73-F8-19,TX,10.84,1729.25,3.56E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
na,na,west.uk.domain.lcl,244.81.99.149,136.22.122.115,09ad7dca39ee09a5d2d23e4f1280fb41,rmitchell11,warn,retry,0x00-46-B1-87-83-D7-03,CT,11.53,616.14,3.57E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1387990587,19:38,east.uk.domain.lcl,12.115.122.238,135.118.228.93,f1e1723db71eca314378986ab498866c,mhughes12,critical,lock,0x00-EF-CE-4C-0F-02-C8,WI,10.72,1727.12,3.58E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1458275724,3:21,east.uk.domain.lcl,99.6.246.58,230.232.178.243,9f1fb26004985149f64421c3d885d6a2,garmstrong13,warn,fail,0x00-39-B7-F8-C9-C2-62,CA,11.51,1305.84,3.75E+14,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1403349785,11:55,west.us.domain.lcl,248.166.55.160,116.242.167.129,e3bb6ee70b76000b5202da6c4f590f0c,lwillis14,critical,retry,0x00-C1-3F-E2-D1-58-B9,CA,13.94,1681.91,4.04E+12,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1333425099,19:21,na,na,na,ef4a518809b3be88c6dad89ac145312a,jlopez15,na,na,na,na,na,na,na,na
1365761482,20:03,east.us.domain.lcl,9.94.253.64,242.239.106.62,942546a63d39883ce1b773bb50b3b440,clane16,critical,lock,0x00-12-A8-E1-0C-7B-E3,CA,6.43,1421.86,3.59E+15,5ede4fc5ef0e9ea1b607d5b661014149a1e0e030
1352697517,9:34,east.uk.domain.lcl,149.206.231.20,223.76.102.173,35d93b517989a41270bc1e6f952a5a69,jnguyen17,warn,fail,0x00-4D-F0-D2-0C-27-C1,NV,3.52,1875.9,4.02E+15,0471b113427d75ed27e274350b461783eca78749
1467970709,14:53,west.uk.domain.lcl,195.117.254.160,23.187.71.32,14a172e5fa627e5488ccf3b74c25c83a,showard18,info,lock,0x00-FF-65-E0-F3-DB-6B,MA,14.44,803.96,3.46E+14,0471b113427d75ed27e274350b461783eca78749
1165757621,11:15,east.us.domain.lcl,123.199.178.175,125.245.197.166,49f5715116d400c65f68348bc8868dd3,rmills19,warn,success,0x00-DD-5D-41-4D-FC-A8,CT,10.4,1773.81,3.58E+15,0471b113427d75ed27e274350b461783eca78749
1198883014,18:10,east.uk.domain.lcl,186.51.162.165,122.21.246.68,aa2ec60ceb12c72383c86ec8f767323f,kmiller1a,warn,success,0x00-8B-2F-13-2F-83-61,KS,8.26,683.5,5.60E+17,0471b113427d75ed27e274350b461783eca78749
1178726737,23:38,east.uk.domain.lcl,113.195.211.246,185.250.50.61,728baf50e537e85f93294dae0e72009c,rparker1b,info,success,0x00-6A-79-E5-1E-C5-E8,AL,7.92,1061.82,5.36E+15,0471b113427d75ed27e274350b461783eca78749
1419748583,15:17,west.uk.domain.lcl,27.139.76.56,107.232.63.101,93e97b6ea5d94462f2a8f94ed8b2b7ed,tgomez1c,info,success,0x00-8B-CD-51-A3-28-5D,NY,9.91,1734.1,3.58E+15,0471b113427d75ed27e274350b461783eca78749
1303841009,5:03,east.uk.domain.lcl,91.42.54.195,35.173.226.39,454e2a4910772d7820e2205c9c1a8cf0,psanders1d,warn,retry,0x00-6C-B3-74-D3-02-7D,MN,4.52,580.29,3.58E+15,0471b113427d75ed27e274350b461783eca78749
1299352008,17:23,west.uk.domain.lcl,13.10.76.100,120.77.80.164,8ec030197b18bf634f3a12e7dae4ff8f,jmontgomery1e,warn,lock,0x00-55-04-A4-76-2F-24,DC,3.86,1509.33,5.01E+15,0471b113427d75ed27e274350b461783eca78749
1462216755,20:41,east.us.domain.lcl,222.79.180.130,200.157.138.45,0a516ad853c8ca52d2b52ec594fa6cf2,wwilson1f,warn,success,0x00-E2-33-1A-E0-8D-1C,TX,5.52,1079.44,3.53E+15,0471b113427d75ed27e274350b461783eca78749
1354128519,20:13,west.us.domain.lcl,94.154.174.98,129.2.249.72,bf9cdbd35712a4323b15dfded9ce76d8,dfrazier1g,warn,lock,0x00-25-11-37-6A-EE-0E,MA,11.45,1904.35,5.53E+15,0471b113427d75ed27e274350b461783eca78749
1342930869,2:47,east.us.domain.lcl,28.183.62.130,92.101.252.221,753a0a385f12ee100e3429ec4fd136d2,mlarson1h,info,success,0x00-5B-DF-7A-BF-5E-74,CA,14.45,1943.71,5.61E+16,0471b113427d75ed27e274350b461783eca78749
1195795505,4:50,east.uk.domain.lcl,138.29.191.144,76.72.200.50,4a3f310098998a92cb88c8ebd8a959fd,pmyers1i,warn,lock,0x00-0F-F4-57-81-E3-D8,KS,8.94,1941.87,6.39E+15,0471b113427d75ed27e274350b461783eca78749
1377484416,5:41,west.us.domain.lcl,114.21.240.27,200.160.215.210,e837b07ca0e281045c05f12b940a0601,rgonzalez1j,critical,retry,0x00-1A-91-57-ED-44-D0,GA,10.37,1662.75,3.72E+14,0471b113427d75ed27e274350b461783eca78749
1205885572,8:27,east.uk.domain.lcl,123.180.243.70,160.206.116.176,01306b025cedce3cd5aa4533a46629c6,rfrazier1k,info,retry,0x00-04-61-8D-7A-6B-18,OH,8.57,765.7,5.10E+15,0471b113427d75ed27e274350b461783eca78749
1284405089,23:26,east.uk.domain.lcl,34.96.12.228,203.251.128.83,d579d298f5b0f40e2f26e73b0b371f32,agilbert1l,error,fail,0x00-8A-DE-CF-D7-AA-D9,TX,3.15,704.83,3.06E+13,0471b113427d75ed27e274350b461783eca78749
1400136114,11:57,east.uk.domain.lcl,24.39.43.236,95.212.206.36,7751660ae416cf44b650e588e3010306,lrodriguez1m,error,retry,0x00-AC-4E-F6-9E-85-B0,CO,6.53,1261.21,4.92E+15,0471b113427d75ed27e274350b461783eca78749
1374321705,8:53,west.us.domain.lcl,46.107.151.227,163.95.236.141,2c15aa4310737cfd7c93fb6e28caa507,nwalker1n,critical,lock,0x00-76-99-6F-8E-BB-3B,NM,12.74,1456.05,5.01E+15,0471b113427d75ed27e274350b461783eca78749
1292561665,5:17,east.us.domain.lcl,161.154.31.84,177.178.117.108,c1f507e36b5a254223e0db55b97c7068,sreyes1o,error,fail,0x00-84-28-08-A8-48-DE,CA,4.07,887.54,3.59E+15,0471b113427d75ed27e274350b461783eca78749
1388458569,3:02,east.uk.domain.lcl,150.102.203.184,88.47.169.49,758fce7677c06435d280ad4cb91b97d2,bjohnston1p,critical,retry,0x00-6D-E3-9D-84-64-BB,FL,10.99,1261.55,5.61E+18,0471b113427d75ed27e274350b461783eca78749
1367148603,3:29,west.uk.domain.lcl,1.226.250.147,3.187.28.113,4c3e8424087ecacaa15596965d2ef6aa,bsanders1q,warn,lock,0x00-36-BC-93-76-1B-74,CA,5.31,1570.7,5.64E+17,0471b113427d75ed27e274350b461783eca78749
1198727222,15:33,east.us.domain.lcl,31.164.76.0,131.81.34.23,f74e4dbd37a7851004fe77593249038a,ayoung1r,info,success,0x00-95-F0-23-1D-D2-95,PA,4.45,1478.17,5.89E+15,0471b113427d75ed27e274350b461783eca78749
1157079497,15:11,west.us.domain.lcl,162.230.0.115,157.144.197.116,b504c3087f5d7a615181e5eaae646831,lmoore1s,warn,fail,0x00-22-49-15-15-84-87,WA,4.2,1912.24,5.50E+15,0471b113427d75ed27e274350b461783eca78749
1381284752,1:39,west.uk.domain.lcl,46.219.87.183,98.50.59.121,a11a3919ad1f46951defbbf27b45852f,gtaylor1t,warn,retry,0x00-21-3F-33-98-31-CD,NY,5.41,1462.64,5.60E+17,0471b113427d75ed27e274350b461783eca78749
1142787718,11:14,east.uk.domain.lcl,28.237.31.105,234.82.145.238,eacbcb6ab7145fb2b72d9d6001899ae4,jwilson1u,info,lock,0x00-65-CD-B6-EC-D8-66,ID,13.97,647.72,6.76E+16,0471b113427d75ed27e274350b461783eca78749
1309491843,17:59,west.us.domain.lcl,10.2.223.192,47.254.187.143,02c3e8bef1cae2f232504d4c6e6c0d38,lelliott1v,critical,fail,0x00-2F-DE-25-4B-B9-B8,NC,7.63,1070.78,2.02E+14,0471b113427d75ed27e274350b461783eca78749
1345283463,2:24,east.uk.domain.lcl,240.193.242.102,248.100.37.106,f776ff2378244751197d719bd55cf204,sreed1w,critical,lock,0x00-FE-DA-07-72-C5-9D,CA,11.19,822.59,3.56E+15,0471b113427d75ed27e274350b461783eca78749
